epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1673.68,0.28508,0.20778,0.8009,0.9221,0.95549,0.99223,0.92475,0.35549,0.25901,0.81603,0.000742625,0.000742625,0.000742625
43,1712.92,0.28523,0.21762,0.79934,0.94489,0.99378,0.98868,0.88424,0.34062,0.25686,0.80865,0.00073025,0.00073025,0.00073025
44,1752.46,0.28487,0.2051,0.81267,0.92678,0.97672,0.98929,0.90392,0.3395,0.25308,0.81276,0.000717875,0.000717875,0.000717875
45,1791.51,0.28227,0.20404,0.80289,0.92897,0.98054,0.98963,0.85026,0.3447,0.24953,0.81414,0.0007055,0.0007055,0.0007055
46,1830.41,0.27167,0.20118,0.79521,0.94379,0.99198,0.98961,0.90282,0.33653,0.25955,0.80584,0.000693125,0.000693125,0.000693125
47,1869.86,0.27567,0.19582,0.80085,0.93963,0.9939,0.99124,0.89429,0.33137,0.25321,0.80983,0.00068075,0.00068075,0.00068075
48,1908.78,0.2566,0.19059,0.7941,0.85481,0.98385,0.99119,0.90416,0.32689,0.25116,0.80182,0.000668375,0.000668375,0.000668375
49,1948.12,0.28127,0.20227,0.79678,0.93286,0.98299,0.99204,0.88698,0.34988,0.26245,0.81026,0.000656,0.000656,0.000656
50,1986.87,0.27084,0.19384,0.80175,0.94543,0.98542,0.98991,0.91965,0.33337,0.24106,0.80619,0.000643625,0.000643625,0.000643625
51,2025.87,0.2685,0.19294,0.79799,0.90716,0.95681,0.99108,0.83681,0.33436,0.26623,0.80479,0.00063125,0.00063125,0.00063125
52,2064.7,0.26128,0.19249,0.78722,0.84809,0.98503,0.99213,0.91579,0.33124,0.25466,0.80767,0.000618875,0.000618875,0.000618875
53,2103.85,0.25608,0.1887,0.78842,0.96657,0.98986,0.9922,0.91536,0.32741,0.24859,0.81243,0.0006065,0.0006065,0.0006065
54,2143.2,0.26031,0.18799,0.79938,0.94603,0.98718,0.99046,0.91054,0.32548,0.24403,0.80973,0.000594125,0.000594125,0.000594125
55,2182.16,0.25242,0.18374,0.79526,0.94955,0.98682,0.99205,0.91488,0.31954,0.22373,0.80161,0.00058175,0.00058175,0.00058175
56,2226.77,0.24772,0.17859,0.78942,0.94598,0.98928,0.98642,0.90649,0.31127,0.22233,0.80486,0.000569375,0.000569375,0.000569375
57,2274.05,0.25504,0.1833,0.80416,0.94126,0.9925,0.98593,0.92585,0.34086,0.24944,0.81576,0.000557,0.000557,0.000557
58,2314.81,0.26139,0.19025,0.79937,0.90559,0.98738,0.98783,0.91845,0.34042,0.27781,0.81572,0.000544625,0.000544625,0.000544625
59,2357.38,0.25819,0.18806,0.79397,0.94195,0.99373,0.98705,0.9311,0.33076,0.22321,0.81954,0.00053225,0.00053225,0.00053225
60,2399.28,0.24193,0.17315,0.79472,0.92108,0.99134,0.98441,0.93737,0.33206,0.22992,0.81512,0.000519875,0.000519875,0.000519875
61,2440.62,0.24582,0.17692,0.79168,0.9504,0.98802,0.98688,0.93998,0.31836,0.22519,0.80477,0.0005075,0.0005075,0.0005075
62,2484.53,0.23526,0.18063,0.79079,0.94412,0.9665,0.99129,0.92133,0.31412,0.24509,0.80157,0.000495125,0.000495125,0.000495125
63,2526.92,0.23664,0.17323,0.7942,0.95157,0.99313,0.99214,0.92505,0.33125,0.21786,0.81338,0.00048275,0.00048275,0.00048275
64,2569.11,0.23537,0.16871,0.79016,0.94856,0.99105,0.98857,0.92361,0.32393,0.23705,0.81364,0.000470375,0.000470375,0.000470375
65,2612.39,0.23311,0.17073,0.79073,0.95233,0.96657,0.98568,0.94129,0.31013,0.21184,0.80484,0.000458,0.000458,0.000458
